Ticker Symbol,Price,Percent Change,Net Change,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
BBT,48.28,+1.07%,0.51,47.77,48.01,0.00 x 3200,0.00 x 800,47.20 - 48.41,45.73 - 56.31,6667143,3444675
BDX,230.6,+0.92%,2.1,228.5,229.22,210.60 x 1200,235.00 x 1000,226.96 - 231.38,203.99 - 265.87,1203712,967630
BRK.B,,,--,nan,nan,N/A x N/A,N/A x N/A,N/A - N/A,undefined - undefined,nan,nan
BBY,70.51,+3.72%,2.53,67.98,68.06,70.25 x 900,70.80 x 900,67.68 - 70.89,52.92 - 84.37,3156807,3327763
BIIB,306.28,+1.77%,5.32,300.96,301.92,282.50 x 100,319.88 x 100,298.34 - 306.69,249.17 - 388.67,1174456,1262787
BLK,403.83,+3.37%,13.18,390.65,392.38,380.01 x 900,413.00 x 1000,390.86 - 406.21,376.31 - 594.52,1489686,783947
HRB,26.6,+3.38%,0.87,25.73,25.76,0.00 x 800,27.57 x 4000,25.76 - 26.65,22.45 - 29.81,2465803,2591726
BA,349.91,+4.27%,14.32,335.59,330.35,0.00 x 900,0.00 x 800,329.77 - 351.05,256.24 - 394.28,5773971,3440198
BKNG,1836,+2.68%,47.97,1788.03,1790.4,"1,830.01 x 100","1,845.00 x 100","1,775.00 - 1,843.47","1,630.56 - 2,228.99",381884,450487
BWA,38.9,-1.67%,-0.66,39.56,39.53,35.56 x 800,43.05 x 1800,38.43 - 39.90,35.71 - 58.22,3063629,2327781
BXP,116.98,-0.03%,-0.03,117.01,117.41,0.00 x 800,125.00 x 4000,116.28 - 118.77,111.57 - 132.82,810013,740420
BSX,35.91,+1.50%,0.53,35.38,35.19,33.88 x 900,36.60 x 1000,35.01 - 35.95,24.54 - 39.44,8167260,7132864
BHF,38.91,+1.89%,0.72,38.19,38.47,32.35 x 800,39.04 x 1800,37.68 - 39.08,37.68 - 67.55,1136839,1140235
BMY,50.02,+0.58%,0.29,49.73,49.72,49.68 x 800,50.20 x 800,49.08 - 50.19,46.94 - 70.05,11263986,6766878
AVGO,221.01,+4.50%,9.51,211.5,213.78,219.10 x 100,221.20 x 800,211.00 - 221.55,197.46 - 285.68,2450286,3836233
BR,114.25,+0.84%,0.95,113.3,113.7,101.95 x 1000,124.70 x 2200,112.84 - 115.27,85.88 - 138.24,701276,852784
BF.B,,,--,nan,nan,N/A x N/A,N/A x N/A,N/A - N/A,undefined - undefined,nan,nan
CHRW,88.29,+1.41%,1.23,87.06,87.4,85.40 x 3000,89.00 x 800,86.74 - 88.86,77.52 - 101.20,1476563,1002006
CA,44.27,+0.23%,0.1,44.17,44.21,44.26 x 800,44.40 x 2900,44.19 - 44.37,31.97 - 44.37,3561634,4333506
COG,24.27,+5.71%,1.31,22.96,22.95,21.51 x 4000,0.00 x 3000,22.88 - 24.39,20.95 - 29.57,9497514,6388744
CDNS,44.38,+0.41%,0.18,44.2,44.16,40.50 x 1200,44.41 x 4000,43.65 - 44.90,35.49 - 47.40,1931477,1876307
CPB,38.24,+1.73%,0.65,37.59,37.86,0.00 x 2200,0.00 x 900,37.72 - 38.31,32.63 - 51.07,3823208,3954065
COF,87.84,+1.60%,1.38,86.46,86.85,0.00 x 800,0.00 x 1200,85.95 - 87.93,84.94 - 106.50,2824698,2508695
CAH,51.57,+2.65%,1.33,50.24,50.38,0.00 x 1300,0.00 x 800,50.00 - 51.60,48.14 - 75.75,4245472,3547012
KMX,68.16,-3.54%,-2.5,70.66,69.57,0.00 x 1200,0.00 x 800,67.80 - 70.01,57.05 - 81.67,3267877,1451246
CCL,54.14,+0.13%,0.07,54.07,54.09,52.28 x 900,0.00 x 800,53.57 - 54.46,53.47 - 72.70,5164498,3795756
CAT,117.46,+3.05%,3.48,113.98,114,0.00 x 900,0.00 x 800,113.10 - 117.74,112.06 - 173.24,8057620,5562561
CBOE,111.95,+2.79%,3.04,108.91,109.59,0.00 x 900,114.49 x 800,109.00 - 112.42,91.10 - 138.54,791495,901453
CBRE,40.12,+1.93%,0.76,39.36,39.56,0.00 x 1400,50.00 x 2200,39.25 - 40.21,38.05 - 50.43,2262329,1845160
CBS,56.24,+3.90%,2.11,54.13,54.35,0.00 x 1100,0.00 x 800,54.06 - 56.27,47.54 - 61.59,2670920,3710173
CELG,72.34,+1.27%,0.91,71.43,71.44,72.11 x 1000,72.41 x 800,70.42 - 72.41,70.09 - 110.81,7386903,4795301
CNC,128.15,+2.61%,3.26,124.89,125.14,0.00 x 800,0.00 x 1800,123.84 - 128.50,90.07 - 148.24,1978079,1340580
CNP,27.3,+0.29%,0.08,27.22,27.32,0.00 x 28000,0.00 x 1400,27.06 - 27.50,24.81 - 30.17,4479286,5180807
CTL,20.46,+3.54%,0.7,19.76,19.72,19.60 x 900,21.16 x 1000,19.72 - 20.53,13.16 - 24.20,9750361,10808420
CERN,57.45,-1.63%,-0.95,58.4,58.68,51.81 x 800,57.49 x 800,57.03 - 59.34,50.91 - 73.43,3487277,1869861
CF,46.25,+3.17%,1.42,44.83,44.91,44.29 x 800,0.00 x 800,44.33 - 46.56,33.50 - 56.51,4730497,2779684
SCHW,45.57,+4.28%,1.87,43.7,44.37,45.57 x 2200,0.00 x 800,44.19 - 45.67,42.01 - 60.22,11310780,6778343
CHTR,316.22,+5.11%,15.37,300.85,302.36,250.15 x 300,316.43 x 200,301.85 - 316.90,250.10 - 396.64,1323487,1537361
CVX,110.85,+1.76%,1.92,108.93,109.62,0.00 x 1100,112.50 x 800,108.28 - 111.15,108.02 - 133.88,7523837,5636175
CMG,461.77,+4.74%,20.9,440.87,438.68,0.00 x 800,469.00 x 1100,438.12 - 462.45,247.52 - 530.68,992855,827701
CB,125.37,+1.91%,2.35,123.02,123.85,122.00 x 900,132.00 x 1000,122.89 - 125.53,120.50 - 157.50,1967301,1565772
CHD,60.23,+2.29%,1.35,58.88,59.18,0.00 x 900,0.00 x 1100,59.18 - 60.32,43.21 - 61.28,1872043,1431586
CI,210.26,+1.64%,3.39,206.87,207.9,200.00 x 800,226.00 x 800,206.27 - 210.65,163.02 - 227.13,1993989,2731464
XEC,79,+0.61%,0.48,78.52,77.97,0.00 x 800,0.00 x 800,77.82 - 79.85,77.63 - 130.16,2121941,1340075
CINF,78.37,+2.04%,1.57,76.8,77.21,70.00 x 800,80.61 x 100,76.39 - 78.47,66.33 - 79.67,523726,529440
CTAS,177.89,+3.48%,5.99,171.9,173.11,174.29 x 200,215.00 x 400,173.11 - 178.38,144.40 - 217.34,993816,603150
CSCO,44.58,+1.69%,0.74,43.84,43.92,44.47 x 1000,44.58 x 2900,43.75 - 44.69,33.67 - 49.47,22784273,20626890
C,64.53,+0.28%,0.18,64.35,64.6,64.58 x 1400,0.00 x 1800,63.81 - 65.19,63.18 - 80.70,19951948,15264713
CFG,36.33,+1.23%,0.44,35.89,36.14,34.78 x 4000,0.00 x 1200,35.55 - 36.39,34.88 - 48.23,5997650,4136006
CTXS,101.55,+0.24%,0.24,101.31,101.53,70.55 x 800,122.00 x 100,100.26 - 103.16,81.11 - 116.82,1059537,1587361
CLX,152.82,+2.70%,4.02,148.8,149.68,0.00 x 1000,0.00 x 800,148.95 - 152.95,113.57 - 155.23,1335000,1015275
CME,182.47,+1.72%,3.08,179.39,180.51,171.00 x 900,182.75 x 100,179.56 - 182.71,135.61 - 183.79,1510724,1441039
CMS,49.85,+0.12%,0.06,49.79,50,46.11 x 4000,0.00 x 900,49.25 - 50.24,40.48 - 51.91,4382014,2278255
KO,47.63,+2.52%,1.17,46.46,46.62,47.67 x 1200,0.00 x 1000,46.04 - 47.74,41.45 - 48.62,20895360,11165587
CTSH,66.52,-3.90%,-2.7,69.22,66.65,66.50 x 800,66.56 x 1800,65.14 - 67.93,65.14 - 85.10,9019611,3336941
CL,60.19,+3.99%,2.31,57.88,58.31,57.61 x 1800,63.00 x 1400,57.94 - 60.31,57.41 - 77.91,8210193,3592798
CMCSA,37.71,+4.78%,1.72,35.99,36.49,37.53 x 1000,37.69 x 900,36.12 - 37.77,30.43 - 44.00,32873828,21003069
CMA,80.76,+1.23%,0.98,79.78,80.3,0.00 x 1300,0.00 x 1800,79.16 - 80.95,74.16 - 102.66,2372232,1670204
CAG,36.38,+1.17%,0.42,35.96,36.15,34.83 x 4000,37.25 x 800,36.02 - 36.74,32.82 - 39.43,6308201,5991741
CXO,135.75,+3.68%,4.82,130.93,130.16,0.00 x 1000,172.10 x 1800,130.15 - 136.94,123.63 - 163.11,2580778,1812878
COP,69.52,+3.22%,2.17,67.35,67.18,67.36 x 800,0.00 x 800,66.86 - 69.71,48.97 - 80.24,6506888,5740241
ED,77.23,-0.14%,-0.11,77.34,77.62,74.50 x 1200,0.00 x 1300,76.50 - 78.14,71.12 - 89.70,2067910,1771750
STZ,198.47,-2.11%,-4.28,202.75,200.84,197.27 x 900,0.00 x 800,196.26 - 201.59,196.26 - 236.62,3477340,2366206
COO,254.29,+2.66%,6.59,247.7,249.14,0.00 x 900,0.00 x 800,248.71 - 254.60,216.47 - 280.10,231122,295192
